chainName,fig1,fig2,corr,p_values
cosmos,cap,high24h,0.9778019879942311,0.0
cosmos,cap,low24h,0.9758887309039397,0.0
cosmos,cap,price,0.9997507681088086,0.0
cosmos,cap,priceChangePercentage14d,0.5465286308481527,2.9852550120874346e-191
cosmos,cap,priceChangePercentage30D,0.7340368489760509,0.0
cosmos,cap,blockTime,0.5085688759730183,1.2282604111857634e-161
cosmos,cap,bondedTokens,-0.5553524405977595,1.0755765603889951e-198
cosmos,cap,inflation,-0.6891489328517464,0.0
cosmos,cap,capBTC,0.8519995502845156,0.0
cosmos,cap,priceBTC,0.8520544481667729,0.0
cosmos,cap,totalVolumeBTC,0.5530518407304933,9.859383573920734e-197
cosmos,capChange24h,capChangeRatio24H,0.9957250934206548,0.0
cosmos,capChange24h,change24h,0.9945192638515652,0.0
cosmos,capChange24h,changeRatio24H,0.9905495052677804,0.0
cosmos,capChange24h,priceChangePercentage24H,0.9905495078873117,0.0
cosmos,capChangeRatio24H,capChange24h,0.9957250934206548,0.0
cosmos,capChangeRatio24H,change24h,0.9902368992732491,0.0
cosmos,capChangeRatio24H,changeRatio24H,0.9947355743668239,0.0
cosmos,capChangeRatio24H,priceChangePercentage24H,0.994735574688967,0.0
cosmos,change24h,capChange24h,0.9945192638515652,0.0
cosmos,change24h,capChangeRatio24H,0.9902368992732491,0.0
cosmos,change24h,changeRatio24H,0.995740291888037,0.0
cosmos,change24h,priceChangePercentage24H,0.995740293791441,0.0
cosmos,changeRatio24H,capChange24h,0.9905495052677804,0.0
cosmos,changeRatio24H,capChangeRatio24H,0.9947355743668239,0.0
cosmos,changeRatio24H,change24h,0.995740291888037,0.0
cosmos,changeRatio24H,priceChangePercentage24H,0.9999999999996303,0.0
cosmos,high24h,cap,0.9778019879942311,0.0
cosmos,high24h,low24h,0.9737695840585854,0.0
cosmos,high24h,price,0.9774379531332039,0.0
cosmos,high24h,priceChangePercentage14d,0.516584900534733,1.3970167150934965e-167
cosmos,high24h,priceChangePercentage30D,0.7072775343361173,0.0
cosmos,high24h,totalVolume,0.5229760916326252,1.952790275509915e-172
cosmos,high24h,bondedTokens,-0.5827899540844428,2.505881945361934e-223
cosmos,high24h,communityTokens,-0.5024062108446636,3.5670289772380395e-157
cosmos,high24h,inflation,-0.6923868631475245,0.0
cosmos,high24h,capBTC,0.8564497076864148,0.0
cosmos,high24h,priceBTC,0.8564842216097118,0.0
cosmos,high24h,totalVolumeBTC,0.6019689166762385,5.414822100054315e-242
cosmos,low24h,cap,0.9758887309039397,0.0
cosmos,low24h,high24h,0.9737695840585854,0.0
cosmos,low24h,price,0.9757084822688452,0.0
cosmos,low24h,priceChangePercentage30D,0.7168545195220203,0.0
cosmos,low24h,bondedTokens,-0.5373978445165736,8.848288111760566e-184
cosmos,low24h,inflation,-0.6882309653312335,0.0
cosmos,low24h,capBTC,0.8392524579836652,0.0
cosmos,low24h,priceBTC,0.8393438502379598,0.0
cosmos,price,cap,0.9997507681088086,0.0
cosmos,price,high24h,0.9774379531332039,0.0
cosmos,price,low24h,0.9757084822688452,0.0
cosmos,price,priceChangePercentage14d,0.5472814072506588,7.05710252827852e-192
cosmos,price,priceChangePercentage30D,0.7340926027779702,0.0
cosmos,price,blockTime,0.5088628651354262,7.483157609265681e-162
cosmos,price,bondedTokens,-0.5546834760502933,4.015987556138475e-198
cosmos,price,inflation,-0.6886723175825805,0.0
cosmos,price,capBTC,0.8516412033819033,0.0
cosmos,price,priceBTC,0.8518275809596308,0.0
cosmos,price,totalVolumeBTC,0.5522356432511307,4.856417019688342e-196
cosmos,priceChangePercentage14d,cap,0.5465286308481527,2.9852550120874346e-191
cosmos,priceChangePercentage14d,high24h,0.516584900534733,1.3970167150934965e-167
cosmos,priceChangePercentage14d,price,0.5472814072506588,7.05710252827852e-192
cosmos,priceChangePercentage14d,priceChangePercentage30D,0.682779759967455,0.0
cosmos,priceChangePercentage14d,priceChangePercentage7d,0.5982460115338099,2.857217843080962e-238
cosmos,priceChangePercentage1H,priceChangePercentage1HBTC,0.695309581401814,0.0
cosmos,priceChangePercentage24H,capChange24h,0.9905495078873117,0.0
cosmos,priceChangePercentage24H,capChangeRatio24H,0.994735574688967,0.0
cosmos,priceChangePercentage24H,change24h,0.995740293791441,0.0
cosmos,priceChangePercentage24H,changeRatio24H,0.9999999999996303,0.0
cosmos,priceChangePercentage30D,cap,0.7340368489760509,0.0
cosmos,priceChangePercentage30D,high24h,0.7072775343361173,0.0
cosmos,priceChangePercentage30D,low24h,0.7168545195220203,0.0
cosmos,priceChangePercentage30D,price,0.7340926027779702,0.0
cosmos,priceChangePercentage30D,priceChangePercentage14d,0.682779759967455,0.0
cosmos,priceChangePercentage30D,blockTime,0.68546373741453,0.0
cosmos,priceChangePercentage30D,inflation,-0.6449313018935098,9.134039492133e-289
cosmos,priceChangePercentage30D,capBTC,0.5890086842459795,3.0458148193850654e-229
cosmos,priceChangePercentage30D,priceBTC,0.5890319798970904,2.892693265498994e-229
cosmos,priceChangePercentage7d,priceChangePercentage14d,0.5982460115338099,2.857217843080962e-238
cosmos,totalVolume,high24h,0.5229760916326252,1.952790275509915e-172
cosmos,totalVolume,totalVolumeBTC,0.9584890839833838,0.0
cosmos,apr,bondedTokens,-0.6518344767517725,5.356164373051485e-297
cosmos,apr,communityTokens,-0.5587233715711651,1.3447726319792942e-201
cosmos,blockTime,cap,0.5085688759730183,1.2282604111857634e-161
cosmos,blockTime,price,0.5088628651354262,7.483157609265681e-162
cosmos,blockTime,priceChangePercentage30D,0.68546373741453,0.0
cosmos,blockTime,inflation,-0.5555835489530959,6.818306557703e-199
cosmos,bondedTokens,cap,-0.5553524405977595,1.0755765603889951e-198
cosmos,bondedTokens,high24h,-0.5827899540844428,2.505881945361934e-223
cosmos,bondedTokens,low24h,-0.5373978445165736,8.848288111760566e-184
cosmos,bondedTokens,price,-0.5546834760502933,4.015987556138475e-198
cosmos,bondedTokens,apr,-0.6518344767517725,5.356164373051485e-297
cosmos,bondedTokens,communityTokens,0.8964684683671605,0.0
cosmos,bondedTokens,inflation,0.5444330072281516,1.6228900590124398e-189
cosmos,bondedTokens,capBTC,-0.7837066179682768,0.0
cosmos,bondedTokens,priceBTC,-0.7836014604071573,0.0
cosmos,communityTokens,high24h,-0.5024062108446636,3.5670289772380395e-157
cosmos,communityTokens,apr,-0.5587233715711651,1.3447726319792942e-201
cosmos,communityTokens,bondedTokens,0.8964684683671605,0.0
cosmos,communityTokens,inflation,0.5136670233673201,2.12472527996498e-165
cosmos,communityTokens,capBTC,-0.7016375116673907,0.0
cosmos,communityTokens,priceBTC,-0.7016325485260247,0.0
cosmos,inflation,cap,-0.6891489328517464,0.0
cosmos,inflation,high24h,-0.6923868631475245,0.0
cosmos,inflation,low24h,-0.6882309653312335,0.0
cosmos,inflation,price,-0.6886723175825805,0.0
cosmos,inflation,priceChangePercentage30D,-0.6449313018935098,9.134039492133e-289
cosmos,inflation,blockTime,-0.5555835489530959,6.818306557703e-199
cosmos,inflation,bondedTokens,0.5444330072281516,1.6228900590124398e-189
cosmos,inflation,communityTokens,0.5136670233673201,2.12472527996498e-165
cosmos,inflation,capBTC,-0.7729017292842144,0.0
cosmos,inflation,priceBTC,-0.7729184402413877,0.0
cosmos,capBTC,cap,0.8519995502845156,0.0
cosmos,capBTC,high24h,0.8564497076864148,0.0
cosmos,capBTC,low24h,0.8392524579836652,0.0
cosmos,capBTC,price,0.8516412033819033,0.0
cosmos,capBTC,priceChangePercentage30D,0.5890086842459795,3.0458148193850654e-229
cosmos,capBTC,bondedTokens,-0.7837066179682768,0.0
cosmos,capBTC,communityTokens,-0.7016375116673907,0.0
cosmos,capBTC,inflation,-0.7729017292842144,0.0
cosmos,capBTC,priceBTC,0.9999610351450096,0.0
cosmos,capBTC,totalVolumeBTC,0.5655442299469988,1.4173851203126746e-207
cosmos,priceBTC,cap,0.8520544481667729,0.0
cosmos,priceBTC,high24h,0.8564842216097118,0.0
cosmos,priceBTC,low24h,0.8393438502379598,0.0
cosmos,priceBTC,price,0.8518275809596308,0.0
cosmos,priceBTC,priceChangePercentage30D,0.5890319798970904,2.892693265498994e-229
cosmos,priceBTC,bondedTokens,-0.7836014604071573,0.0
cosmos,priceBTC,communityTokens,-0.7016325485260247,0.0
cosmos,priceBTC,inflation,-0.7729184402413877,0.0
cosmos,priceBTC,capBTC,0.9999610351450096,0.0
cosmos,priceBTC,totalVolumeBTC,0.5654380395248585,1.76041863968856e-207
cosmos,priceChangePercentage1HBTC,priceChangePercentage1H,0.695309581401814,0.0
