,_time,denom,moduleName,moduleType,amountValue
0,2023-01-28 00:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,2191500000.0
1,2023-01-28 01:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3989897500.0
2,2023-01-29 04:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1345267112.0
3,2023-01-29 21:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4840068109.0
4,2023-01-29 22:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1873351582.0
5,2023-01-30 16:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3882724192.0
6,2023-01-31 06:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1857592234.0
7,2023-01-31 12:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3002577044.0
8,2023-01-31 14:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1245594314.0
9,2023-02-01 09:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,5207136611.0
10,2023-02-01 11:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1245649814.0
11,2023-02-01 21:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4764373047.0
12,2023-02-01 22:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3620340000.0
13,2023-02-02 00:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,5045145366.0
14,2023-02-02 02:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4738145632.0
15,2023-02-02 04:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1585247046.0
16,2023-02-02 15:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1389673885.0
17,2023-02-03 10:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1441700000.0
18,2023-02-04 12:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1069059585.0
19,2023-02-05 03:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,5577980733.0
20,2023-02-05 13:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,6137551921.0
21,2023-02-07 12:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1175303603.0
22,2023-02-08 03:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1510822646.0
23,2023-02-08 11:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1442705430.0
24,2023-02-08 19:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,5688452856.0
25,2023-02-08 22:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1539363634.0
26,2023-02-08 23:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1140694887.0
27,2023-02-09 00:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1601710259.0
28,2023-02-09 02:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1171966142.0
29,2023-02-09 03:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3483153389.0
30,2023-02-09 04:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,5745057731.0
31,2023-02-09 17:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1778995238.0
32,2023-02-09 20:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,2924401506.0
33,2023-02-09 22:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,2499997398.0
34,2023-02-10 08:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4952629160.0
35,2023-02-10 10:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,2499997394.0
36,2023-02-10 14:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,10641236587.0
37,2023-02-11 09:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1081426364.0
38,2023-02-11 18:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1396943123.0
39,2023-02-12 04:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1092722097.0
40,2023-02-13 13:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1223252440.0
41,2023-02-13 14:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4214397975.0
42,2023-02-13 17:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,4615815866.0
43,2023-02-13 20:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3105746594.0
44,2023-02-14 08:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,1604437266.0
45,2023-02-14 14:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,38458654304.0
46,2023-02-15 00:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,3027124871.0
47,2023-02-15 15:00:00+00:00,uatom,Binance #01 (Deposit),EXCHANGE,20036768158.0
