,_time,chainName,activeValidators,apr,blockHeight,blockTime,bondedTokens,communityTokens,inflation,jailedValidators,supplyTokens,totalValidators,tps,txs
0,2023-01-22 03:00:00+00:00,cosmos,175,0.210049354,13763706,6.712609,203090000000000.0,1785360000000.0,0.145679466,325,325364000000000.0,500,0.605406113,28947601
1,2023-01-22 04:00:00+00:00,cosmos,175,0.21005215,13764094,6.704481,203098000000000.0,1785760000000.0,0.145685188,325,325368000000000.0,500,0.637318165,28949188
2,2023-01-22 05:00:00+00:00,cosmos,175,0.210068323,13764628,6.7045783,203098000000000.0,1786340000000.0,0.145693591,325,325374000000000.0,500,0.516217844,28951287
3,2023-01-22 06:00:00+00:00,cosmos,175,0.210077581,13765163,6.6953751,203104000000000.0,1786930000000.0,0.145702026,325,325380000000000.0,500,0.581965714,28953224
4,2023-01-22 07:00:00+00:00,cosmos,175,0.21004782,13765697,6.6918213,203148000000000.0,1787510000000.0,0.145710404,325,325385000000000.0,500,0.34447717,28954946
5,2023-01-22 08:00:00+00:00,cosmos,175,0.210061163,13766236,6.691565,203151000000000.0,1788100000000.0,0.145718878,325,325391000000000.0,500,0.437154648,28956593
6,2023-01-22 10:00:00+00:00,cosmos,175,0.210091469,13767322,6.6838678,203153000000000.0,1789290000000.0,0.145735953,325,325403000000000.0,500,0.472789288,28959296
7,2023-01-22 11:00:00+00:00,cosmos,175,0.210077496,13767866,6.6794783,203182000000000.0,1789880000000.0,0.145744483,325,325409000000000.0,500,0.316951923,28960451
8,2023-01-22 12:00:00+00:00,cosmos,175,0.210090445,13768404,6.677301,203185000000000.0,1790470000000.0,0.145752931,325,325415000000000.0,500,0.293117599,28961543
9,2023-01-22 14:00:00+00:00,cosmos,175,0.210129106,13769484,6.6714001,203178000000000.0,1791650000000.0,0.145769863,325,325427000000000.0,500,0.347234279,28963474
10,2023-01-22 15:00:00+00:00,cosmos,175,0.210133359,13770017,6.6752919,203189000000000.0,1792230000000.0,0.145778223,325,325433000000000.0,500,0.362581581,28964638
11,2023-01-22 16:00:00+00:00,cosmos,175,0.21013795,13770557,6.6714657,203200000000000.0,1792820000000.0,0.145786674,325,325438000000000.0,500,0.346800763,28965875
12,2023-01-22 18:00:00+00:00,cosmos,175,0.210187024,13771629,6.6680935,203184000000000.0,1794000000000.0,0.145803519,325,325450000000000.0,500,0.633693482,28969254
13,2023-01-22 19:00:00+00:00,cosmos,175,0.21019732,13772167,6.6758598,203189000000000.0,1794580000000.0,0.145811948,325,325456000000000.0,500,0.619900481,28971036
14,2023-01-22 20:00:00+00:00,cosmos,175,0.210203343,13772708,6.6820841,203199000000000.0,1795180000000.0,0.145820452,325,325462000000000.0,500,0.382086511,28972849
15,2023-01-22 22:00:00+00:00,cosmos,175,0.210219381,13773780,6.6876664,203214000000000.0,1796350000000.0,0.145837234,325,325474000000000.0,500,0.543449678,28977036
16,2023-01-22 23:00:00+00:00,cosmos,175,0.210237088,13774315,6.6916692,203212000000000.0,1796930000000.0,0.145845624,325,325480000000000.0,500,0.82842122,28979049
17,2023-01-23 00:00:00+00:00,cosmos,175,0.210247806,13774845,6.6944008,203217000000000.0,1797510000000.0,0.145853922,325,325485000000000.0,500,0.61842919,28981087
18,2023-01-23 02:00:00+00:00,cosmos,175,0.210266711,13775919,6.6894038,203230000000000.0,1798690000000.0,0.145870811,325,325497000000000.0,500,0.729174923,28985467
19,2023-01-23 03:00:00+00:00,cosmos,175,0.210265234,13776436,6.6990011,203244000000000.0,1799180000000.0,0.145877777,325,325502000000000.0,500,0.788968167,28988294
20,2023-01-23 04:00:00+00:00,cosmos,175,0.210269453,13776985,6.701757,203255000000000.0,1799760000000.0,0.145886125,325,325508000000000.0,500,0.959675521,28991249
21,2023-01-23 05:00:00+00:00,cosmos,175,0.210281761,13777518,6.704033,203259000000000.0,1800350000000.0,0.145894596,325,325514000000000.0,500,0.552438498,28993836
22,2023-01-23 06:00:00+00:00,cosmos,175,0.210315334,13778057,6.7103228,203242000000000.0,1800940000000.0,0.145902963,325,325520000000000.0,500,0.650139438,28996455
23,2023-01-23 07:00:00+00:00,cosmos,175,0.210329146,13778589,6.7164676,203244000000000.0,1801520000000.0,0.145911322,325,325525000000000.0,500,0.516044286,28998756
24,2023-01-23 08:00:00+00:00,cosmos,175,0.210344922,13779126,6.7159593,203244000000000.0,1802110000000.0,0.145919745,325,325531000000000.0,500,0.354591966,29000515
25,2023-01-23 09:00:00+00:00,cosmos,175,0.210308913,13779667,6.7149756,203294000000000.0,1802700000000.0,0.145928218,325,325537000000000.0,500,0.732659075,29002018
26,2023-01-23 10:00:00+00:00,cosmos,175,0.210325985,13780207,6.7140386,203293000000000.0,1803290000000.0,0.145936649,325,325543000000000.0,500,0.471213881,29003481
27,2023-01-23 11:00:00+00:00,cosmos,175,0.210337921,13780745,6.7108097,203297000000000.0,1803880000000.0,0.145945158,325,325549000000000.0,500,0.330964051,29004865
28,2023-01-23 12:00:00+00:00,cosmos,175,0.210353985,13781274,6.7119839,203297000000000.0,1804470000000.0,0.14595356,325,325555000000000.0,500,0.46263772,29006108
29,2023-01-23 13:00:00+00:00,cosmos,175,0.210369288,13781820,6.7125143,203297000000000.0,1805060000000.0,0.145961978,325,325561000000000.0,500,0.36416606,29007529
30,2023-01-23 14:00:00+00:00,cosmos,175,0.210383159,13782363,6.709781,203300000000000.0,1805650000000.0,0.145970445,325,325567000000000.0,500,0.433899717,29008875
31,2023-01-23 15:00:00+00:00,cosmos,175,0.210355065,13782890,6.7148181,203342000000000.0,1806240000000.0,0.145978783,325,325573000000000.0,500,0.286701814,29010049
32,2023-01-23 16:00:00+00:00,cosmos,175,0.210370501,13783408,6.7127132,203342000000000.0,1806830000000.0,0.145987152,325,325578000000000.0,500,0.28753075,29011549
33,2023-01-23 17:00:00+00:00,cosmos,175,0.210373587,13783939,6.7143215,203355000000000.0,1807420000000.0,0.145995687,325,325584000000000.0,500,0.47297666,29013038
34,2023-01-23 18:00:00+00:00,cosmos,175,0.210389093,13784477,6.7108263,203355000000000.0,1808020000000.0,0.146004115,325,325590000000000.0,500,0.494378731,29014630
35,2023-01-23 19:00:00+00:00,cosmos,175,0.210419079,13785035,6.7061325,203342000000000.0,1808610000000.0,0.146012543,325,325596000000000.0,500,0.318836883,29016269
36,2023-01-23 20:00:00+00:00,cosmos,175,0.210448046,13785556,6.7068339,203329000000000.0,1809190000000.0,0.146020922,325,325602000000000.0,500,0.632179756,29017892
