chainName,fig1,fig2,corr,p_values
cosmos,cap,high24h,0.9777485163185434,0.0
cosmos,cap,low24h,0.9757991565266797,0.0
cosmos,cap,price,0.9997500116103109,0.0
cosmos,cap,priceChangePercentage14d,0.5482644295938914,5.343188032585059e-192
cosmos,cap,priceChangePercentage30D,0.7347025064296011,0.0
cosmos,cap,blockTime,0.5095518537415595,9.061844190820092e-162
cosmos,cap,bondedTokens,-0.5528378863754809,7.748041374571698e-196
cosmos,cap,inflation,-0.6892132811903899,0.0
cosmos,cap,capBTC,0.8513302581956843,0.0
cosmos,cap,priceBTC,0.8513870781147601,0.0
cosmos,cap,totalVolumeBTC,0.5512358911147979,1.740063843857176e-194
cosmos,cap,Digfinex #01 (Deposit)-amountValue,-0.5905793263000438,6.431473792159759e-230
cosmos,cap,DokiaCapital #01 (Validator)-amountValue,-0.7947413038923699,0.0
cosmos,cap,DokiaCapital #02 (Validator)-amountValue,0.749975410481768,0.0
cosmos,cap,Ignite-amountValue,0.6455425199328007,1.9714639549854222e-288
cosmos,cap,Interchain Foundation #02-amountValue,0.5169004170772766,3.283179394092317e-167
cosmos,cap,Kraken #01-amountValue,0.5701482388395133,6.4037690842491425e-211
cosmos,cap,MEXC #01 (Deposit)-amountValue,-0.6134113238435468,7.99369816532195e-253
cosmos,cap,fee_collector-amountValue,0.6116740241012077,5.150236073180468e-251
cosmos,cap,Coinbase #08-boxplot,-0.5627941708776432,2.1053038931819288e-204
cosmos,cap,DokiaCapital #02 (Validator)-boxplot,0.5200629769766462,1.3593192408267534e-169
cosmos,cap,Upbit #20 (Staking)-boxplot,0.5029179301245598,5.699747391683524e-157
cosmos,cap,distribution-boxplot,-0.5431051502376549,9.71263379914444e-188
cosmos,capChange24h,capChangeRatio24H,0.9957262474569163,0.0
cosmos,capChange24h,change24h,0.9945192376763904,0.0
cosmos,capChange24h,changeRatio24H,0.9905499844850261,0.0
cosmos,capChange24h,priceChangePercentage24H,0.9905499870620567,0.0
cosmos,capChangeRatio24H,capChange24h,0.9957262474569163,0.0
cosmos,capChangeRatio24H,change24h,0.9902390506835844,0.0
cosmos,capChangeRatio24H,changeRatio24H,0.9947362374778522,0.0
cosmos,capChangeRatio24H,priceChangePercentage24H,0.9947362378442222,0.0
cosmos,change24h,capChange24h,0.9945192376763904,0.0
cosmos,change24h,capChangeRatio24H,0.9902390506835844,0.0
cosmos,change24h,changeRatio24H,0.9957412098742937,0.0
cosmos,change24h,priceChangePercentage24H,0.9957412116973796,0.0
cosmos,changeRatio24H,capChange24h,0.9905499844850261,0.0
cosmos,changeRatio24H,capChangeRatio24H,0.9947362374778522,0.0
cosmos,changeRatio24H,change24h,0.9957412098742937,0.0
cosmos,changeRatio24H,priceChangePercentage24H,0.9999999999996315,0.0
cosmos,high24h,cap,0.9777485163185434,0.0
cosmos,high24h,low24h,0.97371803962149,0.0
cosmos,high24h,price,0.9773893588737735,0.0
cosmos,high24h,priceChangePercentage14d,0.5186821158869265,1.5027649151651407e-168
cosmos,high24h,priceChangePercentage30D,0.7082080930555604,0.0
cosmos,high24h,totalVolume,0.5209418069808449,2.9284868774530362e-170
cosmos,high24h,bondedTokens,-0.5799495073059571,7.253310317466621e-220
cosmos,high24h,inflation,-0.6926822458163893,0.0
cosmos,high24h,capBTC,0.8557064311073678,0.0
cosmos,high24h,priceBTC,0.8557448277028156,0.0
cosmos,high24h,totalVolumeBTC,0.6001301322022585,2.8293814892006483e-239
cosmos,high24h,Digfinex #01 (Deposit)-amountValue,-0.6141200647639482,1.450358924680959e-253
cosmos,high24h,DokiaCapital #01 (Validator)-amountValue,-0.7886588369096924,0.0
cosmos,high24h,DokiaCapital #02 (Validator)-amountValue,0.749794220462784,0.0
cosmos,high24h,Ignite-amountValue,0.6525067312449394,1.0012743534578553e-296
cosmos,high24h,Interchain Foundation #02-amountValue,0.5485401192924088,3.1483974314425534e-192
cosmos,high24h,Kraken #01-amountValue,0.5722539314373246,8.12724382015648e-213
cosmos,high24h,MEXC #01 (Deposit)-amountValue,-0.6352446424017081,1.4750153354400175e-276
cosmos,high24h,fee_collector-amountValue,0.6173447518518532,5.818201957291119e-257
cosmos,high24h,Bithumb #02 (Withdraw)-boxplot,-0.504890640369738,2.1875450206985842e-158
cosmos,high24h,Coinbase #08-boxplot,-0.5699468625781541,9.707030374824572e-211
cosmos,high24h,DokiaCapital #02 (Validator)-boxplot,0.5248883014516327,2.8090740178744285e-173
cosmos,high24h,Upbit #20 (Staking)-boxplot,0.5117876559842789,2.0697006634099422e-163
cosmos,high24h,distribution-boxplot,-0.5536339159296816,1.6404278922751606e-196
cosmos,low24h,cap,0.9757991565266797,0.0
cosmos,low24h,high24h,0.97371803962149,0.0
cosmos,low24h,price,0.975617625635595,0.0
cosmos,low24h,priceChangePercentage14d,0.5008459149795779,1.7102242990042814e-155
cosmos,low24h,priceChangePercentage30D,0.7174052108415817,0.0
cosmos,low24h,bondedTokens,-0.5349061183815726,4.034146655045076e-181
cosmos,low24h,inflation,-0.6882397635771755,0.0
cosmos,low24h,capBTC,0.8385616222052884,0.0
cosmos,low24h,priceBTC,0.8386547753700724,0.0
cosmos,low24h,Digfinex #01 (Deposit)-amountValue,-0.5630299771080014,1.3088531006253023e-204
cosmos,low24h,DokiaCapital #01 (Validator)-amountValue,-0.8122758372646139,0.0
cosmos,low24h,DokiaCapital #02 (Validator)-amountValue,0.781254832686632,0.0
cosmos,low24h,Ignite-amountValue,0.65104813742447,5.699729060454015e-295
cosmos,low24h,Interchain Foundation #02-amountValue,0.5090636020721017,2.0607210115369874e-161
cosmos,low24h,Kraken #01-amountValue,0.5958861613068556,4.448788556197971e-235
cosmos,low24h,MEXC #01 (Deposit)-amountValue,-0.5895922018281251,5.722466752218427e-229
cosmos,low24h,fee_collector-amountValue,0.6185478294557427,3.071731991751751e-258
cosmos,low24h,Coinbase #08-boxplot,-0.539768186322704,5.047595699555841e-185
cosmos,low24h,DokiaCapital #02 (Validator)-boxplot,0.5607790331718914,1.2038956293584013e-202
cosmos,low24h,Upbit #16 (Staking)-boxplot,0.5008711377223647,1.6410894117128264e-155
cosmos,low24h,Upbit #19 (Staking)-boxplot,0.5006074988816365,2.525655436762721e-155
cosmos,low24h,Upbit #20 (Staking)-boxplot,0.5200616107260072,1.3625623182716556e-169
cosmos,low24h,distribution-boxplot,-0.5246109960224967,4.5913137388429606e-173
cosmos,price,cap,0.9997500116103109,0.0
cosmos,price,high24h,0.9773893588737735,0.0
cosmos,price,low24h,0.975617625635595,0.0
cosmos,price,priceChangePercentage14d,0.5489900467551885,1.3265961652134613e-192
cosmos,price,priceChangePercentage30D,0.7347370556763596,0.0
cosmos,price,blockTime,0.5098260259200617,5.709570441777262e-162
cosmos,price,bondedTokens,-0.5522009296006405,2.6753533540648035e-195
cosmos,price,inflation,-0.6887226160289791,0.0
cosmos,price,capBTC,0.8509790276479701,0.0
cosmos,price,priceBTC,0.8511676739303248,0.0
cosmos,price,totalVolumeBTC,0.5504322727367432,8.235701077034316e-194
cosmos,price,Digfinex #01 (Deposit)-amountValue,-0.5900846900499201,1.9248187298249883e-229
cosmos,price,DokiaCapital #01 (Validator)-amountValue,-0.7945952223211397,0.0
cosmos,price,DokiaCapital #02 (Validator)-amountValue,0.7496471916367736,0.0
cosmos,price,Ignite-amountValue,0.6451345232981394,5.942649273024318e-288
cosmos,price,Interchain Foundation #02-amountValue,0.5162093156090894,1.080669777731601e-166
cosmos,price,Kraken #01-amountValue,0.5698450989569499,1.1976474247588493e-210
cosmos,price,MEXC #01 (Deposit)-amountValue,-0.6129416932058218,2.4711291355189624e-252
cosmos,price,fee_collector-amountValue,0.6114575428107915,8.639002188811762e-251
cosmos,price,Coinbase #08-boxplot,-0.5623725082778964,4.9206442804390805e-204
cosmos,price,DokiaCapital #02 (Validator)-boxplot,0.5196614446201343,2.736979892351047e-169
cosmos,price,Upbit #20 (Staking)-boxplot,0.5025128596908133,1.1103073289791667e-156
cosmos,price,distribution-boxplot,-0.5430410050075515,1.096048183538189e-187
cosmos,priceChangePercentage14d,cap,0.5482644295938914,5.343188032585059e-192
cosmos,priceChangePercentage14d,high24h,0.5186821158869265,1.5027649151651407e-168
cosmos,priceChangePercentage14d,low24h,0.5008459149795779,1.7102242990042814e-155
cosmos,priceChangePercentage14d,price,0.5489900467551885,1.3265961652134613e-192
cosmos,priceChangePercentage14d,priceChangePercentage30D,0.68300488655752,0.0
cosmos,priceChangePercentage14d,priceChangePercentage7d,0.5989681867921741,4.044953301188332e-238
cosmos,priceChangePercentage14d,fee_collector-amountValue,0.5022507809913531,1.7084298231527857e-156
cosmos,priceChangePercentage1H,priceChangePercentage1HBTC,0.6931477983487363,0.0
cosmos,priceChangePercentage1Y,Coinbase #05-amountValue,0.5408471443165734,6.734879477218713e-186
cosmos,priceChangePercentage1Y,Interchain Foundation #01-amountValue,-0.524486372969353,5.7248508976014065e-173
cosmos,priceChangePercentage24H,capChange24h,0.9905499870620567,0.0
cosmos,priceChangePercentage24H,capChangeRatio24H,0.9947362378442222,0.0
cosmos,priceChangePercentage24H,change24h,0.9957412116973796,0.0
cosmos,priceChangePercentage24H,changeRatio24H,0.9999999999996315,0.0
cosmos,priceChangePercentage30D,cap,0.7347025064296011,0.0
cosmos,priceChangePercentage30D,high24h,0.7082080930555604,0.0
cosmos,priceChangePercentage30D,low24h,0.7174052108415817,0.0
cosmos,priceChangePercentage30D,price,0.7347370556763596,0.0
cosmos,priceChangePercentage30D,priceChangePercentage14d,0.68300488655752,0.0
cosmos,priceChangePercentage30D,blockTime,0.6855173030222134,0.0
cosmos,priceChangePercentage30D,inflation,-0.6448286641348475,1.357468115489578e-287
cosmos,priceChangePercentage30D,capBTC,0.5894433944530999,7.95060667366177e-229
cosmos,priceChangePercentage30D,priceBTC,0.5894603674922609,7.657980444442026e-229
cosmos,priceChangePercentage30D,Bithumb #02 (Withdraw)-amountValue,-0.61618546355308,9.782725694350096e-256
cosmos,priceChangePercentage30D,Bithumb #05-amountValue,0.5674935700399675,1.5061845702391112e-208
cosmos,priceChangePercentage30D,Coinbase #03-amountValue,-0.5504575958596999,7.842494030878616e-194
cosmos,priceChangePercentage30D,DokiaCapital #01 (Validator)-amountValue,-0.633415127689131,1.702909727237553e-274
cosmos,priceChangePercentage30D,DokiaCapital #02 (Validator)-amountValue,0.5185948300668086,1.74861662594826e-168
cosmos,priceChangePercentage30D,fee_collector-amountValue,0.7579867371092196,0.0
cosmos,priceChangePercentage30D,Bithumb #02 (Withdraw)-boxplot,-0.640640665151604,1.008769120434532e-282
cosmos,priceChangePercentage30D,Bithumb #03-boxplot,-0.5229934634921614,7.991241116398155e-172
cosmos,priceChangePercentage30D,Coinbase #01-boxplot,-0.6465462845740212,1.2963875767046355e-289
cosmos,priceChangePercentage30D,Coinbase #08-boxplot,-0.5463494568950644,2.0772826298011615e-190
cosmos,priceChangePercentage30D,DokiaCapital #01 (Validator)-boxplot,-0.670569422303811,2.68614e-319
cosmos,priceChangePercentage7d,priceChangePercentage14d,0.5989681867921741,4.044953301188332e-238
cosmos,totalVolume,high24h,0.5209418069808449,2.9284868774530362e-170
cosmos,totalVolume,totalVolumeBTC,0.9583430120049861,0.0
cosmos,apr,bondedTokens,-0.6497051162204721,2.309442963388077e-293
cosmos,apr,communityTokens,-0.5556462503161638,3.179496289118176e-198
cosmos,apr,Coinbase #03-amountValue,0.7092058423653778,0.0
cosmos,apr,HitBTC #02-amountValue,-0.5611631863664408,5.578608279408857e-203
cosmos,apr,Interchain Foundation #01-amountValue,0.5845442070127298,3.6403493089341953e-224
cosmos,apr,Interchain Foundation #02-amountValue,0.5742458827640888,1.2681932773005055e-214
cosmos,apr,Coinbase #01-boxplot,0.5631877716188131,9.520618859501916e-205
cosmos,apr,Coinbase #03-boxplot,0.5635402277954724,4.6735731058876e-205
cosmos,apr,Interchain Foundation #01-boxplot,0.5795411236963822,1.7352567507282373e-219
cosmos,blockTime,cap,0.5095518537415595,9.061844190820092e-162
cosmos,blockTime,price,0.5098260259200617,5.709570441777262e-162
cosmos,blockTime,priceChangePercentage30D,0.6855173030222134,0.0
cosmos,blockTime,inflation,-0.5557135509220061,2.785346816656874e-198
cosmos,blockTime,Bithumb #02 (Withdraw)-amountValue,-0.5749518446818119,2.8831820946060976e-215
cosmos,blockTime,Bithumb #05-amountValue,0.6187632402575429,1.8116615330958944e-258
cosmos,blockTime,DokiaCapital #01 (Validator)-amountValue,-0.5672672595579412,2.3935658311850984e-208
cosmos,blockTime,DokiaCapital #02 (Validator)-amountValue,0.5161005983361182,1.3030959554459865e-166
cosmos,blockTime,fee_collector-amountValue,0.501873820470512,3.1732453728682787e-156
cosmos,blockTime,Bithumb #02 (Withdraw)-boxplot,-0.5209479782572844,2.8970423117591978e-170
cosmos,blockTime,DokiaCapital #01 (Validator)-boxplot,-0.534666716826038,6.255601782532265e-181
cosmos,bondedTokens,cap,-0.5528378863754809,7.748041374571698e-196
cosmos,bondedTokens,high24h,-0.5799495073059571,7.253310317466621e-220
cosmos,bondedTokens,low24h,-0.5349061183815726,4.034146655045076e-181
cosmos,bondedTokens,price,-0.5522009296006405,2.6753533540648035e-195
cosmos,bondedTokens,apr,-0.6497051162204721,2.309442963388077e-293
cosmos,bondedTokens,communityTokens,0.8957509031405644,0.0
cosmos,bondedTokens,inflation,0.5446410209648823,5.334204343237936e-189
cosmos,bondedTokens,capBTC,-0.7825090216444299,0.0
cosmos,bondedTokens,priceBTC,-0.7824127379193843,0.0
cosmos,bondedTokens,Digfinex #01 (Deposit)-amountValue,0.7977635996744544,0.0
