,_time,chainName,ath,athDate,atl,atlDate,cap,capChange24h,capChangeRatio24H,capRank,change24h,changeRatio24H,high24h,low24h,price,priceChangePercentage14d,priceChangePercentage1H,priceChangePercentage1Y,priceChangePercentage24H,priceChangePercentage30D,priceChangePercentage7d,supplyCirculating,totalVolume,apr,blockTime,bondedTokens,communityTokens,inflation,tps,capBTC,priceBTC,priceChangePercentage1HBTC,totalVolumeBTC
0,2023-01-24 21:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3826578089,-69338669,-1.77978,22,-0.267918663,-2.00899,13.38,12.91,13.07,17.50573647,-0.553128296,-62.08242279,-2.00899355,45.62727971,5.979042945,292586163.8,188006789,0.210653458,6.6499435,2.03515E+14,1.82396E+12,0.146230772,0.40966054,166960,0.00057087,-0.38710324,8186
1,2023-01-24 22:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3834398759,-44719269,-1.15282,22,-0.170072493,-1.28194,13.38,12.91,13.1,17.7633769,0.146172963,-61.99928557,-1.281943396,45.9465788,6.211410201,292586163.8,180414129,0.210657135,6.6394632,2.03527E+14,1.82457E+12,0.146239413,0.501747465,166800,0.00056993,-0.16388298,7855
2,2023-01-24 23:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3813167577,-31946650,-0.83084,22,-0.085927691,-0.65573,13.38,12.91,13.02,17.05665421,-0.641806151,-62.22733582,-0.655734844,45.07072282,5.574013288,292586163.8,177740408,0.210664447,6.6263911,2.03536E+14,1.82518E+12,0.146248079,0.307214419,166823,0.00056842,-0.311488382,7734
3,2023-01-25 00:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3806684761,-14779955,-0.38676,22,-0.058382198,-0.44595,13.38,12.91,13.03,17.19290356,0.308693992,-62.18336992,-0.445950324,45.23957944,5.69689729,292586163.8,169295768,0.210676498,6.6097765,2.0354E+14,1.8258E+12,0.146256806,0.621785088,166691,0.00057044,0.207082762,7421
4,2023-01-25 01:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3820293895,3705855,0.0971,22,0.02134867,0.16363,13.38,12.91,13.07,17.50764978,0.426889243,-62.0818054,0.163630074,45.62965091,5.980768563,292586163.8,161001329,0.210659894,6.6002265,2.03573E+14,1.82641E+12,0.146265521,0.384125155,166581,0.00056911,-0.232633144,7003
5,2023-01-25 02:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3845673095,56513355,1.49145,22,0.13791,1.06475,13.38,12.91,13.09,17.70614996,0.130401537,-62.01775196,1.064746492,45.87565628,6.159796927,292586163.8,160391679,0.210663483,6.5900002,2.03585E+14,1.82702E+12,0.146274165,0.508023264,167907,0.00057284,0.514001025,6704
6,2023-01-25 03:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3801618981,19311022,0.51056,22,-0.034396687,-0.26448,13.38,12.93,12.97,16.63222975,-0.863030335,-62.36429208,-0.264482112,44.54472484,5.191222633,292586163.8,153537308,0.210617379,6.5832706,2.03645E+14,1.82763E+12,0.146282629,0.534838258,165983,0.00056623,-1.021563661,6704
7,2023-01-25 04:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3824941893,-18295203,-0.47604,22,-0.036629165,-0.27942,13.38,12.93,13.07,17.54667351,0.828219622,-62.06921294,-0.279415128,45.67801383,6.015964275,292586163.8,151773935,0.210647122,6.5734601,2.03632E+14,1.82824E+12,0.14629123,0.538409434,166202,0.00056804,0.30493948,6523
8,2023-01-25 05:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3806765965,9797693,0.25804,22,0.053328,0.41106,13.38,12.96,13.03,17.13347103,-0.314215392,-62.20254802,0.411061559,45.16592348,5.643294781,292586163.8,145015003,0.210670829,6.5609476,2.03625E+14,1.82885E+12,0.1462999,0.444467238,165432,0.00056543,-0.464138898,6338
9,2023-01-25 06:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3772594809,-36284632,-0.95263,22,-0.181945923,-1.38992,13.38,12.89,12.91,16.07071307,-0.897243657,-62.54548623,-1.389918765,43.84882566,4.68478778,292586163.8,147424395,0.210681015,6.5442526,2.03631E+14,1.82947E+12,0.146308554,0.70804375,164036,0.00056091,-0.827504186,6406
10,2023-01-25 07:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3785261101,-68570981,-1.77929,22,-0.329271825,-2.50001,13.38,12.89,12.84,15.46905745,-0.457104206,-62.7396327,-2.50001113,43.10318145,4.1421514,292586163.8,156491862,0.210264974,6.5394883,2.04049E+14,1.83007E+12,0.14631691,0.346086625,164620,0.00055459,-1.072716019,6988
11,2023-01-25 08:00:00+00:00,cosmos,44.45,2022-01-17T00:34:41.497Z,1.16,2020-03-13T02:27:44.591Z,3666735792,-182506276,-4.74136,22,-0.576660242,-4.39828,13.38,12.44,12.53,12.70721724,-1.768423646,-63.63084272,-4.398275559,39.68037599,1.651233163,292586163.8,156415127,0.210237062,6.5343702,2.04092E+14,1.83068E+12,0.146325153,0.408541663,160590,0.00054869,-1.215166608,6853
