moduleType,moduleName,count,mean,std,min,25%,50%,75%,max,,,,,,,,,
MODULE,bonded_tokens_pool,2485,2.1511E+14,1.44064E+13,1.9641E+14,2.04116E+14,2.07471E+14,2.301E+14,2.38796E+14,,,,,,,,,
MODULE,not_bonded_tokens_pool,2485,8.03278E+12,4.69645E+12,3.46205E+12,5.34969E+12,6.10717E+12,7.17328E+12,1.90294E+13,,,,,,,,,
EXCHANGE,Coinbase #06,2484,4.14149E+11,6.98268E+11,227713490,3.16635E+11,3.77147E+11,4.21286E+11,1.45458E+13,,,,,,,,,
EXCHANGE,Binance #04 (Staking),2484,9.92738E+12,8.02136E+11,8.76648E+12,9.35492E+12,9.35492E+12,1.05791E+13,1.15791E+13,,,,,,,,,
MODULE,distribution,2485,8.18883E+12,5.50228E+11,7.17473E+12,7.83055E+12,7.98203E+12,8.63426E+12,9.39434E+12,,,,,,,,,
EXCHANGE,Kraken #01,2484,6.27353E+12,1.13176E+12,5.15557E+12,5.46928E+12,5.66686E+12,7.31693E+12,8.71056E+12,,,,,,,,,
FOUNDER,Interchain Foundation #01,2484,6.42395E+12,3.10393E+12,96515,7.04463E+12,8.04463E+12,8.04463E+12,8.04463E+12,,,,,,,,,
FOUNDER,Interchain Foundation #02,2484,3.54721E+12,2.45922E+12,18457,18457,5.04848E+12,5.19848E+12,5.59148E+12,,,,,,,,,
FOUNDER,Ignite,2484,3.12446E+12,2.33505E+12,7.04763E+11,7.04763E+11,1.50476E+12,5.52582E+12,5.52582E+12,,,,,,,,,
EXCHANGE,Coinbase #01,2484,4.57372E+11,8.75592E+11,29548665601,1.24322E+11,1.27011E+11,1.88585E+11,4.60531E+12,,,,,,,,,
EXCHANGE,Coinbase #03,2484,2.3079E+11,3.65846E+11,70650000,70712500,70727500,5.04783E+11,3.40358E+12,,,,,mean(),,,,max()
EXCHANGE,Binance #03 (Withdraw),2484,7.82618E+11,4.19127E+11,53956241894,5.19227E+11,6.59066E+11,8.97359E+11,2.19069E+12,,,,,,,,,
EXCHANGE,OKK #01,2484,1.45218E+12,1.64843E+11,1.11444E+12,1.33139E+12,1.46541E+12,1.56607E+12,1.74879E+12,,,,MODULE,bonded_tokens_pool,v,,MODULE,bonded_tokens_pool
EXCHANGE,Coinbase #08,2484,5.43372E+11,38862338234,4.80428E+11,5.15864E+11,5.35822E+11,5.7651E+11,6.37138E+11,,,,EXCHANGE,Binance #04 (Staking),v,,MODULE,not_bonded_tokens_pool
EXCHANGE,Bithumb #03,2484,3.54748E+11,28379007437,2.70989E+11,3.635E+11,3.635E+11,3.64545E+11,4.22029E+11,,,,MODULE,distribution,v,,EXCHANGE,Coinbase #06
PERSONAL,DokiaCapital #02 (Validator),2484,1.373E+11,1.55154E+11,1127630171,8928226586,11018937942,3.22324E+11,3.22324E+11,,,,MODULE,not_bonded_tokens_pool,v,,EXCHANGE,Binance #04 (Staking)
EXCHANGE,Binance #01 (Deposit),1913,1653705661,12054597239,1000,7760000,64313806,460228024,2.37763E+11,,,,FOUNDER,Interchain Foundation #01,v,,MODULE,distribution
